역명,PM10(기준100마이크로그램_세제곱미터 이하),PM2.5(기준50마이크로그램_세제곱미터 이하),"CO2(기준1,000피피엠 이하)",HCHO(기준100마이크로그램_세제곱미터 이하),CO(기준10피피엠 이하),NO2(기준0.1피피엠 이하),Rn(기준148베크렐_세제곱미터 이하),VOC(기준500마이크로그램_세제곱미터 이하)
각산,20.3,7.7,518,3,0.7,미측정,미측정,미측정
감삼,12.9,6.7,814,3.2,1.2,0.017,37,21.9
강창,11.2,5.6,465,7.7,1,0.015,24.333,30
경대병원,26.9,18.3,734,7,1.7,0.023,11.333,100.267
계명대,14.2,8.6,569,6.1,0.8,0.015,28.333,56
고산,25.4,16.6,488,3.3,0.8,0.023,44.5,63
교대,12.1,9.6,503,6,0.6,미측정,미측정,미측정
내당,12.9,6.1,738,3.7,2.6,0.016,19,148.15
다사,15.9,8,498,6.6,0.7,0.037,17,23.25
담티,23.2,11.8,518,6.3,0.7,0.037,31,80.5
대곡,14.8,9.4,513,8.8,0.6,미측정,미측정,미측정
대공원,24.3,8.9,473,7.1,0.6,0.035,45,60.767
대구,13,7,503,2.7,0.4,미측정,미측정,미측정
대구은행,20.6,15.6,495,8.7,0.7,0.037,7.5,79.35
대명,9.6,4.7,473,5.9,0.6,미측정,미측정,미측정
대실,26.8,14.3,517,5.5,0.7,0.037,29,77.4
동구청,14.1,5.2,476,4.6,0.4,미측정,미측정,미측정
동대구,6.7,3.9,499,7.5,0.5,미측정,미측정,미측정
동촌,32.3,12.1,475,5,0.7,미측정,미측정,미측정
두류,14.4,8.6,829,3.8,2.4,0.02,60.5,12.5
만촌,24.4,9.9,489,6.4,1,0.037,11.5,19.2
명덕,18.9,10.2,530,5,0.7,미측정,미측정,미측정
문양,28.1,18.7,474,5.4,0.8,0.005,17,60.45
반고개,16.6,11.8,724,9.6,2.6,0.012,62.8,166
반야월,20.4,10.2,494,6.8,0.7,미측정,미측정,미측정
반월당,19.1,8.5,482,3.9,0.5,미측정,미측정,미측정
반월당,20.7,12.6,614,8.2,2.8,0.005,20.333,134.9
방촌,12.9,9.8,470,4.2,0.5,미측정,미측정,미측정
범어,24.4,18.5,492,5.9,1.3,0.037,9.5,85.9
사월,28.8,20.7,471,6.1,1,0.026,21.5,100.05
상인,30.3,16.9,497,7.5,0.4,미측정,미측정,미측정
설화명곡,14.2,7,737,8.6,3.4,미측정,미측정,미측정
성당못,21.3,10.7,504,6.3,0.4,미측정,미측정,미측정
성서산업단지,10.3,7.1,469,7.7,0.9,0.021,32.333,80.867
송현,23.4,10.7,464,9.9,0.5,미측정,미측정,미측정
수성구청,24.9,14.1,474,5.9,1.3,0.038,19.5,29.3
신기,13.1,6.5,469,5.8,0.4,미측정,미측정,미측정
신남,21.5,11.5,711,6.3,1,0.013,33.667,31
신매,24.3,15.8,479,4.4,0.6,0.036,17.5,61.85
신천,18.3,5.5,517,6.6,0.6,미측정,미측정,미측정
아양교,18,7.9,499,5.3,0.8,미측정,미측정,미측정
안심,17.4,11,480,4,1.1,미측정,미측정,미측정
안지랑,13.5,7.2,481,4,1.1,미측정,미측정,미측정
연호,14.2,9.5,484,4.4,0.6,0.035,56,81.35
영남대,24.3,8.9,474,4.3,1,0.02,23,10.4
영대병원,24.5,10,522,11.9,0.6,미측정,미측정,미측정
용계,8.5,4,474,7.3,0.4,미측정,미측정,미측정
용산,20.8,10.8,534,9,0.8,0.02,31,77.733
월배,33.4,14.9,465,7.6,0.3,미측정,미측정,미측정
월촌,16.9,12.4,455,12.4,0.7,미측정,미측정,미측정
율하,16.3,7.6,480,5.4,0.9,미측정,미측정,미측정
이곡,9.3,3.2,741,27.2,1.1,0.026,33,48.5
임당,22.3,8,491,3.8,1.2,0.013,6,29
정평,13.1,4.8,477,5,0.8,0.025,23,127.05
죽전,24.6,8.3,832,5.4,0.6,0.015,25,16
중앙로,11.1,5.8,507,6.4,0.5,미측정,미측정,미측정
진천,19.4,9,517,5.5,0.9,미측정,미측정,미측정
칠성시장,10.3,5.3,509,4.3,0.8,미측정,미측정,미측정
해안,15.5,4.3,474,5,1.1,미측정,미측정,미측정
현충로,11.1,5.4,534,7.7,0.8,미측정,미측정,미측정
화원,22.9,17.7,465,4.1,0.5,미측정,미측정,미측정
