field1,field2,field3,field4,field5,_GC_TYPE,_X,_Y
대구도시철도공사,1호선,대곡,대구광역시 달서구 비슬로 지하 2718,053-644-7723,정,128.512486,35.80943825
대구도시철도공사,1호선,교대,대구광역시 남구 중앙대로 지하 194(대명동),053-473-7702,정,128.5905961,35.85009547
대구도시철도공사,1호선,각산,대구광역시 동구 안심로 지하 363(신서동),053-963-7754,정,128.724166,35.86800191
대구도시철도공사,1호선,대구역,대구광역시 북구 칠성남로30길 지하 24,053-426-7797,정,128.5972156,35.8763437
대구도시철도공사,1호선,대명,대구광역시 남구 대명로 지하71,053-627-7746,정,128.5653785,35.83931538
대구도시철도공사,1호선,동구청,대구광역시 동구 신암남로 지하169(신암동),053-942-7721,정,128.6320835,35.88423782
대구도시철도공사,1호선,동촌,대구광역시 동구 해동로 지하197(검사동),053-981-7731,정,128.6504589,35.88596368
대구도시철도공사,1호선,동대구역,대구광역시 동구 동대구로 지하530( 신천동),053-742-7787,정,128.6273251,35.87742984
대구도시철도공사,1호선,명덕1,대구광역시 중구 명덕로 지하185(남산동),053-255-7723,정,128.5911511,35.85795208
대구도시철도공사,1호선,반야월,대구광역시 동구 안심로 지하261,053-962-7798,정,128.7132065,35.86621082
대구도시철도공사,1호선,상인,대구광역시 달서구 월배로 지하 223,053-642-7745,정,128.5378974,35.81895223
대구도시철도공사,1호선,방촌,대구광역시 동구 동촌로 지하275(방촌동),053-984-7716,정,128.6701203,35.87963776
대구도시철도공사,1호선,반월당1,대구광역시 중구 달구벌대로 지하2100(덕산동),053-255-7735,정,128.5934942,35.8655039
대구도시철도공사,1호선,서부정류장,대구광역시 남구 월배로 지하501 (대명동),053-651-7736,정,128.5570275,35.83712619
대구도시철도공사,1호선,설화명곡,대구광역시 달성군 비슬로 지하 2476,053-634-2674,정,128.4892596,35.79867292
대구도시철도공사,1호선,송현,대구광역시 달서구 월배로 지하 412,053-626-7730,정,128.551747,35.83106798
대구도시철도공사,1호선,신천,대구광역시 동구 동부로 지하 41,053-756-7706,정,128.6176506,35.87463437
대구도시철도공사,1호선,신기,대구광역시 동구 안심로 지하159(신기동),053-962-7773,정,128.7024758,35.86670008
대구도시철도공사,1호선,아양교,대구광역시 동구 아양로 지하245(신암동),053-942-7724,정,128.639646,35.88711889
