호선,역명,총승객수,평균혼잡도,공기질점수,면적,정거장깊이,환기구,위도,경도
1,각산,0.25269307178098505,0.23317616533037405,0.13731108535105357,4976.2,13.3,3,128.724166,35.86800191
2,감삼,0.4654404258938951,0.41993904755166117,0.9405241990345421,6136.4,21.1,4,128.5479033,35.85423495
2,경대병원,0.41377075240309635,0.4287053260541692,0.7652560313909885,10519.77,21.8,4,128.6028004,35.86320099
2,계명대,0.4567921144412624,0.41298193118806537,0.28683461498691143,10795.48,18.9,4,128.4919786,35.85150372
2,고산,0.14448772046105426,0.14014245202566586,0.08087751092534841,7819.79,21.4,3,128.6938547,35.84287054
1,교대,0.2322133651855843,0.22250110788778873,0.10957729922121165,8456.38,18.3,4,128.5905961,35.85009547
2,내당,0.2664417603567074,0.2622316863355542,0.7338269468345064,6760.99,23.1,3,128.5647428,35.86017698
2,다사,0.1579229520514929,0.16326448912407973,0.09338111642639081,5767.86,17.7,3,128.4585444,35.86472894
2,담티,0.1795353127569683,0.17004634508749528,0.15752638138309755,8078.87,27.6,4,128.6535326,35.8545934
1,대곡,0.3145728035415545,0.2673102811986788,0.14393704387010373,5888.36,17.2,4,128.512486,35.80943825
2,대공원,0.04965911829755864,0.054180135106450325,0.02936374471419956,16944.63,30.8,5,128.6611082,35.83410413
2,대구은행,0.37063619141123433,0.35542134182900176,0.11174059984652818,9553.53,20.8,4,128.6142241,35.85973636
1,대명,0.1682566209204072,0.1823180643431436,0.014269620728501612,5158.23,14.6,3,128.5653785,35.83931538
2,대실,0.42272941949981574,0.3994873458732576,0.1595291351695539,8601.17,21.0,5,128.4656589,35.85727725
1,동촌,0.11725661560382226,0.11375493894514191,0.038044158544085084,8991.36,22.9,4,128.6504589,35.88596368
2,두류,0.45690885778489815,0.4222758528873977,0.988511377056496,6888.54,20.6,4,128.5566063,35.85754682
2,만촌,0.2153750762043837,0.2101518830368415,0.07382977681268268,8972.28,25.0,5,128.6453761,35.85857519
2,반고개,0.24353126683585222,0.2449511970774107,0.727396909881522,8391.0,22.0,3,128.5725548,35.86219912
1,반야월,0.1346786213032013,0.13266909719248204,0.08914975482592914,5386.57,13.3,4,128.7132065,35.86621082
1,방촌,0.19414329436867325,0.1895942803198165,0.015420659929141638,6186.21,14.2,4,128.6701203,35.87963776
2,범어,0.4754763660078828,0.4569578611621092,0.10411598556711132,8318.3,25.5,4,128.6244551,35.85901535
2,사월,0.25356942219355205,0.2308370324992832,0.053541010193363846,8653.66,27.4,4,128.7153621,35.83676687
1,상인,0.761225304463096,0.7161605450435523,0.11763729475855372,6593.05,13.7,4,128.5378974,35.81895223
1,설화명곡,0.28041950513227665,0.25037123550901397,0.7471414499284346,8949.66,25.6,4,128.4892596,35.79867292
1,송현,0.2155505235063941,0.20182806140118947,0.017339058596875092,7941.04,17.2,4,128.551747,35.83106798
2,수성구청,0.30236924745512805,0.30853208591995657,0.04317621512187947,9301.66,24.6,4,128.6361252,35.85842051
1,신기,0.24282371799415886,0.22065028358203406,0.008051832138756015,6794.67,13.4,5,128.7024758,35.86670008
2,신매,0.3801657268126011,0.3720920273043136,0.057119299906937225,7966.2,19.2,4,128.70436,35.84071466
1,신천,0.3036474430770976,0.2918532542109047,0.13831790451000553,6731.87,16.2,4,128.6176506,35.87463437
1,아양교,0.3160151487226019,0.29080006256307517,0.09237701840030052,9837.25,22.1,5,128.639646,35.88711889
1,안심,0.435774768196898,0.3934018765198544,0.04563884036201952,5124.58,15.0,4,128.7337722,35.87127992
1,안지랑,0.26043844989650383,0.2434478678280559,0.03791354416670748,5119.55,17.6,3,128.573175,35.83926584
2,영남대,0.577929172455837,0.5359160463115717,0.024574550877021317,8945.39,23.8,4,128.7521479,35.83583382
1,영대병원,0.3091540958970142,0.3081019647784784,0.17875938110554165,5753.82,15.5,4,128.5876197,35.84395394
1,용계,0.09587840615873197,0.08515956377151074,0.018811191475235023,5130.27,13.7,3,128.6816429,35.8762451
2,용산,0.47927107848697087,0.4540443024775724,0.20565233718101542,17941.25,20.2,5,128.5283918,35.84896527
1,월배,0.26395049727790854,0.2520053699972815,0.025448034525733697,5013.82,12.8,3,128.530326,35.81614135
1,월촌,0.2700437466328296,0.24795040759098647,0.0041551698803245635,5921.94,12.9,4,128.5454907,35.82373328
1,율하,0.26872346138032727,0.2518487295599358,0.04011221951923006,5989.7,14.4,4,128.6927784,35.8697782
2,이곡,0.2446481927155698,0.21561707487831858,0.7975395516661499,9198.85,31.3,4,128.5157678,35.85062066
2,임당,0.1957847899594522,0.17953461264891318,0.06702422352473791,9607.73,22.8,4,128.7413845,35.83401347
2,정평,0.29801784423115096,0.2665205620249583,0.023126908194419427,6459.96,20.4,4,128.7291977,35.83398098
1,진천,0.533085329415601,0.504157837700956,0.14496018982622844,5181.09,15.7,3,128.5231144,35.81389041
1,해안,0.1319226366007883,0.11961883074081388,0.01374988435185337,6767.6,19.0,4,128.6599186,35.88350341
1,현충로,0.20310639195281713,0.18697933928923882,0.18715679711777622,5776.2,15.5,3,128.5819214,35.84117266
1,화원,0.23382362584002045,0.22701039738724685,0.023311945229037782,7477.15,23.2,4,128.5006787,35.80443418
